lat,lon,borough
51.544502,-0.159943,Camden
51.557912,-0.143429,Camden
51.54535,-0.130046,Camden
51.52464,-0.12921,Camden
51.531431,-0.142038,Camden
51.5391862,-0.1258368,Camden
51.510013,-0.085428,City and County of the City of London
51.510574,-0.083608,City and County of the City of London
51.509429,-0.081804,City and County of the City of London
51.512944,-0.076666,City and County of the City of London
51.513919,-0.079673,City and County of the City of London
51.515308,-0.076782,City and County of the City of London
51.516927,-0.081927,City and County of the City of London
51.51747,-0.08657,City and County of the City of London
51.519322,-0.088287,City and County of the City of London
51.520504,-0.090752,City and County of the City of London
51.517741,-0.093493,City and County of the City of London
51.517399,-0.093959,City and County of the City of London
51.516623,-0.094806,City and County of the City of London
51.516004,-0.093054,City and County of the City of London
51.51681,-0.089778,City and County of the City of London
51.513944,-0.092704,City and County of the City of London
51.512173,-0.093225,City and County of the City of London
51.51102,-0.092403,City and County of the City of London
51.510668,-0.091251,City and County of the City of London
51.511858,-0.098071,City and County of the City of London
51.512401,-0.099169,City and County of the City of London
51.51555,-0.099052,City and County of the City of London
51.515764,-0.099683,City and County of the City of London
51.518353,-0.100448,City and County of the City of London
51.52046,-0.097292,City and County of the City of London
51.518027,-0.10606,City and County of the City of London
51.51762,-0.10903,City and County of the City of London
51.517028,-0.110774,City and County of the City of London
51.516632,-0.103308,City and County of the City of London
51.515172,-0.106773,City and County of the City of London
51.511246,-0.106839,City and County of the City of London
51.5146288,-0.0824082,City and County of the City of London
51.51785,-0.11159,City and County of the City of London
51.51558,-0.10939,City and County of the City of London
51.51486,-0.1076,City and County of the City of London
51.51297,-0.09032,City and County of the City of London
51.5134,-0.07588,City and County of the City of London
51.5217,-0.09588,City and County of the City of London
51.51555,-0.09922,City and County of the City of London
51.51618,-0.09709,City and County of the City of London
51.51584,-0.09723,City and County of the City of London
51.51483,-0.0969,City and County of the City of London
51.5141,-0.09661,City and County of the City of London
51.51443,-0.09624,City and County of the City of London
51.51447,-0.096,City and County of the City of London
51.51414,-0.09398,City and County of the City of London
51.51385,-0.09318,City and County of the City of London
51.51299,-0.09864,City and County of the City of London
51.51223,-0.09663,City and County of the City of London
51.51237,-0.09568,City and County of the City of London
51.5125,-0.09387,City and County of the City of London
51.51521,-0.09294,City and County of the City of London
51.51638,-0.09136,City and County of the City of London
51.51879,-0.08843,City and County of the City of London
51.51024,-0.08525,City and County of the City of London
51.50955,-0.08058,City and County of the City of London
51.51136,-0.08303,City and County of the City of London
51.51162,-0.08184,City and County of the City of London
51.51147,-0.08147,City and County of the City of London
51.51172,-0.0801,City and County of the City of London
51.51193,-0.07774,City and County of the City of London
51.51244,-0.0756,City and County of the City of London
51.51361,-0.07604,City and County of the City of London
51.51353,-0.07923,City and County of the City of London
51.51562,-0.07613,City and County of the City of London
51.51616,-0.07736,City and County of the City of London
51.51646,-0.07973,City and County of the City of London
51.514359,-0.103493,City and County of the City of London
51.494856,-0.162695,Kensington and Chelsea
51.496733,-0.162782,Kensington and Chelsea
51.499878,-0.211869,Kensington and Chelsea
51.505433,-0.216413,Kensington and Chelsea
51.486687,-0.170991,Kensington and Chelsea
51.487439,-0.179677,Kensington and Chelsea
51.480073,-0.179568,Kensington and Chelsea
51.495197,-0.1788,Kensington and Chelsea
51.50639,-0.208799,Kensington and Chelsea
51.50815,-0.20316,Kensington and Chelsea
51.51386,-0.217531,Kensington and Chelsea
51.498765,-0.198251,Kensington and Chelsea
51.487273,-0.169386,Kensington and Chelsea
51.491736,-0.164534,Kensington and Chelsea
51.514222,-0.201441,Kensington and Chelsea
51.507087,-0.206183,Kensington and Chelsea
51.511537,-0.218188,Kensington and Chelsea
51.483788,-0.177106,Kensington and Chelsea
51.4938532,-0.1842361,Kensington and Chelsea
51.516495,-0.202425,Kensington and Chelsea
51.493937,-0.174676,Kensington and Chelsea
51.516775,-0.205864,Kensington and Chelsea
51.513302,-0.217812,Kensington and Chelsea
51.499805,-0.19647,Kensington and Chelsea
51.495895,-0.173606,Kensington and Chelsea
51.493771,-0.174756,Kensington and Chelsea
51.48756,-0.16817,Kensington and Chelsea
51.4863326,-0.1609493,Kensington and Chelsea
51.49259,-0.1582,Kensington and Chelsea
51.50358,-0.19175,Kensington and Chelsea
51.49916,-0.19844,Kensington and Chelsea
51.5078255,-0.1950063,Kensington and Chelsea
51.5143365,-0.2006587,Kensington and Chelsea
51.48411,-0.18403,Kensington and Chelsea
51.48924,-0.17592,Kensington and Chelsea
51.49325,-0.169,Kensington and Chelsea
51.51883389,-0.21714709,Kensington and Chelsea
51.51331373,-0.213937121,Kensington and Chelsea
51.49461305,-0.175880356,Kensington and Chelsea
