lat,lon,borough
51.40615,-0.3038,Kingston upon Thames
51.40343,-0.3045,Kingston upon Thames
51.39254,-0.30588,Kingston upon Thames
51.39397,-0.30273,Kingston upon Thames
51.39583,-0.29684,Kingston upon Thames
51.39897,-0.28008,Kingston upon Thames
51.40399,-0.2571,Kingston upon Thames
51.40048,-0.25339,Kingston upon Thames
51.39904,-0.2479,Kingston upon Thames
51.39802,-0.26759,Kingston upon Thames
51.39427,-0.26613,Kingston upon Thames
51.38992,-0.28194,Kingston upon Thames
51.38509,-0.29525,Kingston upon Thames
51.38094,-0.28244,Kingston upon Thames
51.37755,-0.27926,Kingston upon Thames
51.38942,-0.26147,Kingston upon Thames
51.38533,-0.2632,Kingston upon Thames
51.38462,-0.26211,Kingston upon Thames
51.38271,-0.25902,Kingston upon Thames
51.38465,-0.25139,Kingston upon Thames
51.38151,-0.24638,Kingston upon Thames
51.40814087,-0.294242128,Kingston upon Thames
51.401396,-0.294509,Kingston upon Thames
51.39709,-0.2768,Kingston upon Thames
51.39744948,-0.290370917,Kingston upon Thames
51.40465126,-0.298002737,Kingston upon Thames
51.40431151,-0.303822717,Kingston upon Thames
51.429423,-0.265691,Kingston upon Thames
51.4085187,-0.285963445,Kingston upon Thames
51.40787,-0.28781,Kingston upon Thames
51.40763021,-0.284687145,Kingston upon Thames
51.40871818,-0.305870125,Kingston upon Thames
51.40392486,-0.27303034,Kingston upon Thames
51.4082547,-0.258402764,Kingston upon Thames
51.40491074,-0.257291486,Kingston upon Thames
51.39928119,-0.260588545,Kingston upon Thames
51.40585139,-0.280166068,Kingston upon Thames
51.39826243,-0.304326185,Kingston upon Thames
51.39448788,-0.298619517,Kingston upon Thames
51.38814175,-0.297197473,Kingston upon Thames
51.39312,-0.295,Kingston upon Thames
51.38836,-0.25283,Kingston upon Thames
51.48791,-0.11691,Lambeth
51.446558,-0.14548296,Wandsworth
51.443021,-0.14418724,Lambeth
51.445056,-0.13020347,Lambeth
51.443085,-0.13235613,Lambeth
51.441954,-0.14264766,Lambeth
51.439724,-0.13194645,Lambeth
51.444981,-0.12214782,Lambeth
51.444863,-0.11701526,Lambeth
51.449726,-0.12250004,Lambeth
51.42901,-0.12153681,Lambeth
51.471017,-0.13865978,Lambeth
51.469307,-0.12893862,Lambeth
51.414596,-0.14024776,Lambeth
51.420378,-0.12220714,Lambeth
51.42072,-0.12954279,Lambeth
51.417564,-0.1261912,Lambeth
51.426454,-0.1214546,Lambeth
51.444228,-0.10548595,Lambeth
51.425717,-0.11420626,Lambeth
51.435456,-0.11530152,Lambeth
51.427803,-0.09360711,Lambeth
51.427516,-0.087577308,Lambeth
51.430674,-0.1026084,Lambeth
51.427888,-0.10102637,Lambeth
51.42777,-0.10432544,Lambeth
51.424491,-0.10617287,Lambeth
51.42465,-0.098240593,Lambeth
51.47778,-0.1165,Lambeth
51.47996,-0.12979,Lambeth
51.46418,-0.13142,Lambeth
51.49869,-0.11701,Lambeth
51.499,-0.11219,Lambeth
51.488593,-0.105835,Lambeth
51.485423,-0.111345,Lambeth
51.490826,-0.116393,Lambeth
51.492099,-0.111119,Lambeth
51.50686,-0.11155,Lambeth
51.50549,-0.11383,Lambeth
51.46057,-0.11071,Lambeth
51.46759,-0.11829,Lambeth
51.44659,-0.12414,Lambeth
51.438709,-0.128456,Lambeth
51.49483,-0.11701,Lambeth
51.49146,-0.10322,Lambeth
51.4895,-0.11133,Lambeth
51.47392,-0.11245,Lambeth
51.47463,-0.12328,Lambeth
51.47322,-0.13364,Lambeth
51.45603,-0.14432,Lambeth
51.44787,-0.13193,Lambeth
51.4966,-0.1118,Lambeth
51.4923,-0.121557,Lambeth
51.490271,-0.122908,Lambeth
51.487724,-0.122967,Lambeth
51.449894,-0.122658,Lambeth
51.447679,-0.126554,Lambeth
51.4373092,-0.11765125,Lambeth
51.506863,-0.111554,Lambeth
51.466097,-0.1038128,Lambeth
51.42385781,-0.130376923,Lambeth
51.41774225,-0.135978462,Lambeth
51.470014,-0.12590043,Lambeth
51.463855,-0.10084369,Lambeth
51.460375,-0.10025402,Lambeth
51.459789,-0.097413678,Lambeth
51.457687,-0.10143082,Lambeth
51.479817,-0.10804395,Lambeth
51.480957,-0.11129479,Lambeth
51.472956,-0.12377833,Lambeth
51.464988,-0.13219619,Lambeth
51.453869,-0.11284483,Lambeth
51.476817,-0.11160984,Lambeth
51.478059,-0.10499168,Lambeth
51.471182,-0.11240407,Lambeth
51.48696,-0.12071,Lambeth
